Tweet,created_at,hashtags
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:33:35,"['Trump', 'Steele']"
"I thought everyone in Georgia was supposed to be dead by now. The media and democrats lie.
#COVIDー19 
#OPENAMERICANOW 
#COVID19 #CoronaVirus 
#Trump",2020-05-13 08:33:43,['COVIDー19']
RT @Bijan63: Thanks to incompetent #Trump and #Bolsonaro. #PoliticalLeadership,2020-05-13 08:33:45,"['Trump', 'Bolsonaro', 'PoliticalLeadership']"
"RT @_montoni: BOTH of #Trump’s pick for today special election won today! ♥️🇺🇸 

#MikeGarcia2020 won in CALIFORNIA - one of the bluest stat…",2020-05-13 08:33:46,"['Trump', 'MikeGarcia2020']"
"RT @organicsbytrish: Delivered 💃💃
.
Order for affordable skincare products and thank me later ❤️
.
Simply send a DM for enquiries and recom…",2020-05-13 08:33:57,[]
RT @jpierni: In an extraordinary show of solidarity for @weijia at next  #WhiteHousePressBriefing all  reporters must walk out on #trump &amp;…,2020-05-13 08:34:00,"['WhiteHousePressBriefing', 'trump']"
"RT @freedompersia7: Wow!
You can #impeach #Trump for a short phone conversation with Ukraine, but you can't impeach #Obama for paying $150B…",2020-05-13 08:34:00,"['impeach', 'Trump', 'Obama']"
"RT @SaraCarterDC: #NEW: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a fo…",2020-05-13 08:34:08,"['NEW', 'Trump', 'Steele']"
"RT @Faustynowilson: Who ever did this makeup is too good, because I’m still in doubt. #MadagascarCure #28Abortions #Kunle #Bossmustapha #Os…",2020-05-13 08:34:10,"['MadagascarCure', '28Abortions', 'Kunle', 'Bossmustapha']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:34:10,"['Trump', 'Steele']"
"He should try in comedy field..!!!
Hilarious 😂🤣

#DonaldTrump #lockdown #COVIDー19",2020-05-13 08:34:11,"['DonaldTrump', 'lockdown', 'COVIDー19']"
"At odds with Trump, US virus expert Fauci warns of risks of reopening too soon - https://t.co/YZJkP2Jq7b - #Congress #COVID19 #DonaldTrump #France #France24 #Fresh #Government #USGovernment",2020-05-13 08:34:11,[]
"RT @captainsacks: #Trump this is how the fight against the #CoronavirusOutbreak is won. Testing and more testing, along with effective quar…",2020-05-13 08:34:12,"['Trump', 'CoronavirusOutbreak']"
