Tweet,created_at,hashtags
RT @TheRickWilson: Cannot unsee.,2020-05-13 21:17:23,[]
"@Trumpism0 @Ronny_Malone He was a stooge from the beginning. 

Nobody with an ounce of common sense could possibly see #DementiaJoe beating #DonaldTrump 

#DNCisCorrupt",2020-05-13 21:17:24,[]
RT @TheRickWilson: Cannot unsee. https://t.co/wky5XhJjHB,2020-05-13 21:17:24,[]
"RT @tomfervoy: @politico Death-count 5/13 in countries that took prompt, aggressive action:

S. Korea: 259
Japan: 657
Hong Kong: 4
Taiwan:…",2020-05-13 21:17:29,[]
RT @TheRickWilson: Cannot unsee.,2020-05-13 21:17:35,[]
"RT @AwakenedOutlaw: Dish bish is 117% going down.

De Niro: #Trump Has ‘Distain’ for His Voters Who Bought His Reality TV Scam

https://t.c…",2020-05-13 21:17:36,['Trump']
RT @TheoMoudakis: Please enjoy Thursday's #DonaldTrump cartoon in @TorontoStar #COVID19 https://t.co/KaopsGrf4s,2020-05-13 21:17:37,"['DonaldTrump', 'COVID19']"
RT @forcemultstevea: @ryanstruyk @maggieNYT @CNN #Trump will cut Social Security &amp; Medicare entitlements if reelected to shrink trillions i…,2020-05-13 21:17:37,['Trump']
SCOOP: There’s NO way to spin this anymore. #JoeBiden is neck deep in #ObamaGate,2020-05-13 21:17:37,"['JoeBiden', 'ObamaGate']"
RT @TheRickWilson: Cannot unsee. https://t.co/wky5XhJjHB,2020-05-13 21:17:38,[]
"RT @derekjames150: So, we're all having to deal with the worst  global pandemic in 100 years. But, on the plus side, #DonaldTrump, #BorisJo…",2020-05-13 21:17:38,['DonaldTrump']
Hypocrisy at it's finest. Unbelievable #Trump https://t.co/DbTSnGKEmy,2020-05-13 21:17:40,['Trump']
RT @SueSuezep: #Trump When he gets an unacceptable answer.... https://t.co/waxm8VYvG1,2020-05-13 21:17:43,['Trump']
"Screw #Trump. He's a queer fellow who has an ornage face and some kind of freak show hairdo, who has a pea for a brain and has some kind of chronic cowardice called #BoneSpurs.",2020-05-13 21:17:43,['Trump']
"RT @derekjames150: So, we're all having to deal with the worst  global pandemic in 100 years. But, on the plus side, #DonaldTrump, #BorisJo…",2020-05-13 21:17:44,['DonaldTrump']
"RT @rielcano: Is the pandemic the cause or the consequence of the geopolitical clash between the 🇺🇸 &amp; 🇨🇳?
🗣 ""The tension goes back a long w…",2020-05-13 21:17:45,[]
"RT @JordansView1: 🇺🇸#JordansViewExpress 456🇺🇸
#Trump Can See For Miles &amp; Miles...&amp; he's NOT leaving!

The #DeepStateCabal wants to STEAL yo…",2020-05-13 21:17:46,"['JordansViewExpress', 'Trump', 'DeepStateCabal']"
RT @Julia3131: This is BRILLIANT! MUST WATCH. https://t.co/SCIqnmFiym,2020-05-13 21:17:50,[]
"Good thing #Trump is not a vindictive kind of man, who would unleash all hell on his detractors who have put him and his family through hell for the past 4 years...if he were in a legal position to do so.
Just saying.",2020-05-13 21:17:51,['Trump']
KARMA is a bitch and has a name..Treason (Credit IMG: Ben Garrison) #TREASON #ObamaGate #BarackObama #HillaryClinton #JoeBiden #JoeBiden2020 https://t.co/oJKGIwd1PT,2020-05-13 21:17:52,"['TREASON', 'ObamaGate', 'BarackObama']"
@amandalynn65 @lura_ks1972 @Founta4Fountain @HillaryClinton @realDonaldTrump Maybe the murder hornets will get #Trump first. He is awfully orange they might think he’s a flower. #TrumpIsALaughingStock #TrumpIsTheWORSTPresidentEVER #TrumpVirus #VoteRedToSaveAmerica,2020-05-13 21:17:52,[]
RT @TheRickWilson: Cannot unsee. https://t.co/wky5XhJjHB,2020-05-13 21:17:53,[]
#Trump/Pence Must Go Now,2020-05-13 21:17:54,['Trump']
RT @TheRickWilson: Cannot unsee.,2020-05-13 21:17:54,[]
"@JR10170033 @aleeyun_nvaazun @Lor_blueeyes @jim16919077 @TaiDecker @SteveDelzer1 @GPoopon @Mongo3804 @CONSMILITIA @swbhfx @RobertDobbs2018 @leeroq3 @hrt6017 @WalkedAwa @NeoDJT @SeasonedSaxon @MsfFlynnerland @chrisg409ubc @SlimJimJohn1 @NatTimsina @RickySi16087724 @Snack8671 @aaronaretools @Pompano_Pete @Dalmatio @gidzirro1 @Vickie627 @TheyGary @NanetteDonnelly @jam266 @timwofct @roddy202620 @Khary_Illah @AsanteS09913224 @Melisa94361674 @road25thdan @KateDaGreat1111 @1BellaDoll @semaJ49956510 @JonSteel6 @Christo84554035 @LastLaughAemial @NieberleinEva @onfire4trump @NRA @DLoesch @stinchfield1776 @CamAndCompany @CamEdwards The threat from right-wing extremists like the #MAGA Bomber grows while #Trump looks the other way.
https://t.co/BDUIk24pq5",2020-05-13 21:17:59,[]
RT @scureggione: #jump in the #Trump https://t.co/ee5OMjlDPO,2020-05-13 21:18:00,"['jump', 'Trump']"
RT @TheRickWilson: Cannot unsee.,2020-05-13 21:18:00,[]
RT @TheRickWilson: Cannot unsee.,2020-05-13 21:18:01,[]
RT @scureggione: #jump in the #Trump https://t.co/ee5OMjlDPO,2020-05-13 21:18:02,"['jump', 'Trump']"
"RT @Jewel4Trump: ⚖️UNMASKING RELEASE

#DNI Grenell has released #Obama Admn official’s names who requested to UNMASK identity of #Flynn 201…",2020-05-13 21:18:05,"['DNI', 'Obama', 'Flynn']"
Coronavirus Case Counts And Death Tolls Are Likely Undercounts : Goats and Soda See Details Here ==&gt; https://t.co/JlBBa05rEm #COVID__19 #covid19 #n95 #mask #coronavirus #trump #DeltaAirLines #AmericanAirlines #UnitedAirlines #airlines https://t.co/HfvcI4Uf3x,2020-05-13 21:18:05,[]
RT @TheRickWilson: Cannot unsee.,2020-05-13 21:18:07,[]
RT @TheRickWilson: Cannot unsee. https://t.co/wky5XhJjHB,2020-05-13 21:18:08,[]
"Citing coronavirus, Trump ramps up expulsions of migrant youth | USA News #coronavirus #citing #coronavirus #expulsions #migrant #news #ramps #trump #usa #youth
https://t.co/NSSbaxyI7O",2020-05-13 21:18:08,"['coronavirus', 'citing', 'coronavirus']"
"@AndrewBatesNC Hey Andy....regarding #DementiaJoe @BarackObama and James  Comey and their attempt to use national intelligence assets to spy on the #Trump Administration...what did the President and the Vice President know, and when did they know it? https://t.co/zMzTKaAIjT",2020-05-13 21:18:13,['DementiaJoe']
"RT @_montoni: BOTH of #Trump’s pick for today special election won today! ♥️🇺🇸 

#MikeGarcia2020 won in CALIFORNIA - one of the bluest stat…",2020-05-13 21:18:13,"['Trump', 'MikeGarcia2020']"
RT @TheRickWilson: Cannot unsee.,2020-05-13 21:18:14,[]
RT @scureggione: #jump in the #Trump https://t.co/ee5OMjlDPO,2020-05-13 21:18:15,"['jump', 'Trump']"
"as the #media, a voice for #truth showed the dead and dying and the live videos of #nurses and #doctors sounding the alarm from around the world. I LISTENED as #DonaldTrump touted medications that were unproven and sent panicked #Americans into a worse panic. I WATCHED as he",2020-05-13 21:18:15,"['media', 'truth', 'nurses', 'doctors']"
RT @TheRickWilson: Cannot unsee.,2020-05-13 21:18:19,[]
#Trump warns that 'rich guys' could be talking down stock market to profit https://t.co/JuhLYh68rN https://t.co/BpIzmEY3AU,2020-05-13 21:18:19,['Trump']
"BAD REPORTER 'COVID-19 IN DA (WHITE) HOUSE'
at https://t.co/KuQg6fsktp 
#DonaldTrump
#COVID19
#KatieMiller
#StephenMiller https://t.co/Gydh76N7pE",2020-05-13 21:18:20,"['DonaldTrump', 'COVID19', 'KatieMiller']"
"All this talk of “unmasking” makes me think of masks, which makes me think of the pandemic that #Trump totally screwed up. Then I think about 80,000 dead Americans. Trump and his enablers want to talk about anything but this. We can’t let them distract us.
#coronavirus #Flynn https://t.co/QupQUyy5gE",2020-05-13 21:18:24,['Trump']
"RT @rightNtruthMat: @realDonaldTrump Trump is Melting Down and the GOP is enabling him

Obama envy, 82K victims,  testing failures, no narc…",2020-05-13 21:18:24,[]
"@CatSkoor @smartthumb That should have been our clue back in 2016 that #Trump has #dementia, feeling his daughter up on national TV to the point she has to use defensive action to make sure he doesn't grab her butt.

cc @TomJChicago",2020-05-13 21:18:26,"['Trump', 'dementia']"
"RT @Jewel4Trump: ⚖️UNMASKING RELEASE

#DNI Grenell has released #Obama Admn official’s names who requested to UNMASK identity of #Flynn 201…",2020-05-13 21:18:28,"['DNI', 'Obama', 'Flynn']"
RT @TheRickWilson: Cannot unsee.,2020-05-13 21:18:31,[]
"@BibleBeltDarlin #SubpoenaObama #SubpoenaBiden 
Start getting more facts rather than the #JoeBiden truth over facts!
All started with BHO and the freak out w/ the cryroom development cause they were starting to see Trump #Winning as well HRC was in full freak out mode! Over @Comey #TreasonGate",2020-05-13 21:18:31,"['SubpoenaObama', 'SubpoenaBiden', 'JoeBiden']"
RT @scureggione: #jump in the #Trump https://t.co/ee5OMjlDPO,2020-05-13 21:18:31,"['jump', 'Trump']"
RT @TheoMoudakis: Please enjoy Thursday's #DonaldTrump cartoon in @TorontoStar #COVID19 https://t.co/KaopsGrf4s,2020-05-13 21:18:33,"['DonaldTrump', 'COVID19']"
RT @TheRickWilson: Cannot unsee.,2020-05-13 21:18:34,[]
"@jimmykimmel @sethmeyers 
@StephenAtHome #Colbert

These guys arent comedians
they're #ButtBuddy haters
Only thing they know is to make jokes of #coronavirus 
&amp; attacked #Potus #Trump.
Peek at their wives U can see why their jealous of @FLOTUS

#corona #foxnews #maga
#cnn #msnbc",2020-05-13 21:18:34,"['Colbert', 'ButtBuddy']"
Long live for the second time u deserve it #DonaldTrump strong man #salute from #Lebanon,2020-05-13 21:18:36,"['DonaldTrump', 'salute', 'Lebanon']"
RT @TheRickWilson: Cannot unsee.,2020-05-13 21:18:36,[]
"RT @SilverAdie: #RacistInChief

A cure for this is coming on November 3rd!

#JoeBidenForPresident2020 #JoeBiden2020 #JoeBiden…",2020-05-13 21:18:38,"['RacistInChief', 'JoeBidenForPresident2020', 'JoeBiden2020', 'JoeBiden']"
Guilty. Guilty. Guilty. #TrumpIsGuilty #PutinsPuppet #TrumpRussia #Trump  #TrumpIsALaughingStock #TrumpIsACrook #TrumpIsALiar,2020-05-13 21:18:38,"['TrumpIsGuilty', 'PutinsPuppet', 'TrumpRussia', 'Trump', 'TrumpIsALaughingStock', 'TrumpIsACrook']"
RT @StrengthSecure: @HalieSoifer @JoeBiden @JewishJournal @RJC @mbrooksrjc @ExodusMvmt .@HalieSoifer another example of why #ProIsrael Amer…,2020-05-13 21:18:40,['ProIsrael']
RT @news_ntd: A federal judge said he would not immediately approve the @TheJusticeDept’s motion to drop charges against former #Trump advi…,2020-05-13 21:18:40,['Trump']
RT @TrumpCanuck: @Me2189251618 @XHawk80 @hollylandes @Shayarm @45HarisonHarold @Reccared1 @RedPilledisBACK @FrancesannMaga @HEAVENSARMY4 @l…,2020-05-13 21:18:40,[]
"@redsteeze We still have a choice to ensure our nominee for POTUS is not under the cloud of a rape allegation. If you care about the #TaraReade story, then read and sign this petition written by Democrats. #IBelieveTaraReade #Joebiden  https://t.co/sUIOCM9kww",2020-05-13 21:18:41,[]
"@GOP Who to believe: #Trump, desperate to get reelected, or #DrFauci, concerned about our health? #COVID19 #GOP #CDC #testing
https://t.co/L8YhcxpiPM",2020-05-13 21:18:41,"['Trump', 'DrFauci', 'COVID19', 'GOP']"
"RT @FrankPKing: @funder @rpdandy @realDonaldTrump .#tRump would have to murder some Republican Senators’ children (in the open, in the midd…",2020-05-13 21:18:46,['tRump']
RT @TheRickWilson: Cannot unsee.,2020-05-13 21:18:47,[]
"RT @LVNancy: They all knew #RussiaHoax was a LIE &amp; attempted the Coup @realDonaldTrump 

illegal #Unmasking of #GenFlynn:
 
VP #JoeBiden 
#…",2020-05-13 21:18:52,"['RussiaHoax', 'Unmasking', 'GenFlynn', 'JoeBiden']"
Who wants to see #Trump investment returns against Stanley Drunkenmler’s? I’ll take S.D. on that one.,2020-05-13 21:18:52,['Trump']
RT @DrLee4America: @azdeplorable2 @QTAnon1 @GregAbbott_TX @DonaldJTrumpJr @charliekirk11 @TuckerCarlson @AAPSonline @DrMartyFox @chuckwoole…,2020-05-13 21:18:56,[]
RT @_IamAnita_D: 🔴The #Democrat plan is to prolong #lockdowns for as long as possible to protect #Biden from having Trump/Biden live debate…,2020-05-13 21:18:57,"['Democrat', 'lockdowns', 'Biden']"
