Tweet,created_at,hashtags
"RT @PeteKent01: #BREAKING: #Snowflake #Meltdown
COAST TO COAST as #Trump backed candidates poised to win #SpecialElection for #House
Seats…",2020-05-13 10:53:56,"['BREAKING', 'Snowflake', 'Meltdown', 'Trump', 'SpecialElection', 'House']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 10:53:57,"['Trump', 'Steele']"
"@briantylercohen #coronavirus #COVIDー19 #COVID19 #QANON #WWG1WGA #Trump #POTUS #Hydroxychloroquine 

DR. YVETTE LOZANO, TX. USA SPEAKS BRAVELY ABOUT COVID CURE. THIS LADY NEEDS TO TALK AT ALL WHITE HOUSE PRESSERS.

https://t.co/YMbtrosg8r",2020-05-13 10:53:57,"['coronavirus', 'COVIDー19', 'COVID19', 'QANON', 'WWG1WGA', 'Trump', 'POTUS', 'Hydroxychloroquine']"
RT @SandSupa: Trump's New Press Sec Drops SCORCHING Details of Obamagate https://t.co/rDrbnxyKRL via @YouTube #OAN  #ObamaGate #Obama #corr…,2020-05-13 10:54:04,"['OAN', 'ObamaGate', 'Obama']"
"RT @zeusFanHouse: John #Brennan under the spotlight!

#Obama CIA Chief #JohnBrennan Under Fire for the Creation of Bogus January 2017 Intel…",2020-05-13 10:54:08,"['Brennan', 'Obama', 'JohnBrennan']"
"RT @FireCrownEyes: “Harvey Weinstein is a wonderful human being, a GOOD FRIEND, a powerhouse.” - Michelle Obama #OBAMAGATE #harveyweinstein…",2020-05-13 10:54:09,"['OBAMAGATE', 'harveyweinstein']"
@JohnCornyn @thedispatch NJ IS INCREASING testing EVERY day #Trump,2020-05-13 10:54:10,['Trump']
"RT @Manny_Funes: Of course the coronavirus infections is spiking up in areas that backed @realDonaldTrump 

What else did you expected to h…",2020-05-13 10:54:10,[]
"""Many of the new emerging #hotspots, both rural &amp; urban, are in states where governors refused to issue stay-at-home orders, or are following #Trump’s advice to relax #lockdown restrictions despite public health warnings about the dangers of doing so too soon."" #COVIDー19 #USA",2020-05-13 10:54:13,['hotspots']
RT @Obscure_Rebel: @SomeTimesImFun2 @holah_james Big contrast w/ these ⤵️ women - who I admire as *real* leaders (as opposed to dangerous #…,2020-05-13 10:54:14,[]
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 10:54:17,"['Trump', 'Steele']"
"RT @CDMarche: When the villain is Obama, not Trump, news suddenly becomes not worth reporting https://t.co/VzEWuLj21K via @nypost #KAG #Tru…",2020-05-13 10:54:18,['KAG']
"RT @joefaz: Maddow pointed out on Tuesday, #trump completely undercut his lawyers’ argument by spending the entire day on Twitter. #trump i…",2020-05-13 10:54:19,"['trump', 'trump']"
"RT @CDMarche: When the villain is Obama, not Trump, news suddenly becomes not worth reporting https://t.co/VzEWuLj21K via @nypost #KAG #Tru…",2020-05-13 10:54:20,['KAG']
@jmichaelharlow @JoeBiden It’s not a game out here cuz if it was #Trump v #Biden is a win win for Corp America.,2020-05-13 10:54:21,"['Trump', 'Biden']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 10:54:22,"['Trump', 'Steele']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 10:54:22,"['Trump', 'Steele']"
RT @metalheadrailf1: I fucking hate this. Model railroading is a hobby that's supposed to be an escape from this bullshit. https://t.co/oAY…,2020-05-13 10:54:23,[]
"Obama &amp; Vj are still calling the shots. 

#TreasonousTraitors https://t.co/oJaMSDMw0S",2020-05-13 10:54:26,['TreasonousTraitors']
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 10:54:32,"['Trump', 'Steele']"
RT @CyrusAParsa1: Obama puts Mass Genocidal Maniacs Image in White House?  Glad I rejected requests for China/Iran WH Advisory in 2008 befo…,2020-05-13 10:54:34,[]
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 10:54:42,"['Trump', 'Steele']"
"RT @inselratte: Tory leaver MP Bone lists reasons why the PM's Sunday television address was ""wrong"" and breached ministerial code. 
He arg…",2020-05-13 10:54:43,[]
"The age of the digital, virtual election has begun with a close race. #COVIDー19 #coronavirus #StaySafe #Trump #Biden #Election2020 #November2020 #Democrats #Republicans 

https://t.co/IH3lmONUUF",2020-05-13 10:54:46,"['COVIDー19', 'coronavirus', 'StaySafe', 'Trump']"
"@BillHilly15 @Andora81 @E_Teezey1286 @kimmccants1 @shahmiruk @bryanadams The irony is when the #Leftists are in denial over what the science is telling them - for political correctness, then they are doing exactly what they are accusing #DonaldTrump of doing.  #coronavirus #COVID #BryanAdams #MAGA",2020-05-13 10:54:48,['Leftists']
"Trump Pushes Federal Reserve For Negative Interest Rates, Bitcoin’s Anti-Inflation Mechanism Shines #Political #Government #Trump https://t.co/2Tmgmm2kbR",2020-05-13 10:54:50,['Political']
You confused with the #VP #JoeBiden,2020-05-13 10:54:52,"['VP', 'JoeBiden']"
RT @pacnw_investor: #Democrats should not under estimate the anger against them by the electorate and the support of #Trump. Local issues b…,2020-05-13 10:54:55,"['Democrats', 'Trump']"
@garethicke #Gate’s  #vaccine is already in preparation and they believe they will skew the polls and do whatever needs to be done to overthrow #Trump and then the Democrats will make the vaccine MANDATORY to work.,2020-05-13 10:54:57,"['Gate', 'vaccine']"
"RT @CDMarche: When the villain is Obama, not Trump, news suddenly becomes not worth reporting https://t.co/VzEWuLj21K via @nypost #KAG #Tru…",2020-05-13 10:54:58,['KAG']
RT @AndyOstroy: @realDonaldTrump It's as if you think your Twitter feed is only seen by your rapidly-declining brainwashed base...and that…,2020-05-13 10:55:04,[]
@Better_4_US @5mu1ek32 @Sam2323_43433 Dumber than #trump,2020-05-13 10:55:04,['trump']
#TrumpPressConference   #Trump      Reacted quickly,2020-05-13 10:55:04,"['TrumpPressConference', 'Trump']"
RT @bigtickHK: The Toddler in Chief: What Donald Trump Teaches Us about the Modern Presidency by Daniel Drezner https://t.co/uhDN94o77q #Bo…,2020-05-13 10:55:06,[]
"RT @MLaridious: 🇺🇸Max🇺🇸
If you love our great President #DonaldTrump

If you want a #Trump2020Landslide

Then Retweet and follow back all R…",2020-05-13 10:55:07,"['DonaldTrump', 'Trump2020Landslide']"
RT @JSiskoff: @MarshaBlackburn It’s #ObamaGate #GITMOBound #TheBigHouseGitmo for #CorruptTreasonousObama &amp; #JoeBiden Bye 👋 Bye 👋 #Obama &amp; a…,2020-05-13 10:55:08,"['ObamaGate', 'GITMOBound', 'TheBigHouseGitmo', 'CorruptTreasonousObama', 'JoeBiden', 'Obama']"
RT @BobDibuono: @RealJamesWoods Trump on testing🇺🇸🇺🇸🇺🇸🇺🇸. Comedian  Bob DiBuono🧨. Rt🧨. Follow bob👈🏼. #trump #DonaldTrump #TestingAMA https:…,2020-05-13 10:55:10,"['trump', 'DonaldTrump', 'TestingAMA']"
"⚡🌧️⛅☀️ https://t.co/vKLYfWY1Vk  RT @nomallorywrites: Since this ""#Trump experiment"" began three years ago, one thing is crystal clear in #America: the #nation is full o… https://t.co/sJHFwGHzCG",2020-05-13 10:55:14,['Trump']
NEGLIGENCE of #Trump 👇👇👇,2020-05-13 10:55:15,['Trump']
"RT @FireCrownEyes: “Harvey Weinstein is a wonderful human being, a GOOD FRIEND, a powerhouse.” - Michelle Obama #OBAMAGATE #harveyweinstein…",2020-05-13 10:55:17,"['OBAMAGATE', 'harveyweinstein']"
RT @azredhen: @pnjaban Any area city county or State controlled by #Dems  is now a dictatorship under their control like #Fascists.  The pp…,2020-05-13 10:55:17,"['Dems', 'Fascists']"
"RT @zeusFanHouse: Fauci &amp; #Democrats Use Senate Testimony Stage To Bash #Trump &amp; Promote #Vaccines

#Fauci continues holding nation hostage…",2020-05-13 10:55:19,"['Democrats', 'Trump', 'Vaccines', 'Fauci']"
"#Trump has tertiary syphilis, so he won't remember he said this 4 months from now if he's asked about it. #TertiarySyphillis
https://t.co/R9ay0eAQ0X",2020-05-13 10:55:21,['Trump']
"RT @BetteMidler: Now Putin’s spokesman reportedly has Coronavirus. Oh, excuse me — his RUSSIAN spokesman, not #DonaldTrump.",2020-05-13 10:55:27,['DonaldTrump']
"@OrgyFart007 @Garyured I vehemently disagree. Trump didn't get to where he is now by playing nice. I support him 100% and no amount of vile tweets or dishonest memes is going to change my mind.
#qanon #WWG1WGA #KAG2020 #KAG #Trump2020Landslide Women for Trump #Trump",2020-05-13 10:55:28,[]
"RT @SaraCarterDC: #NEW: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a fo…",2020-05-13 10:55:28,"['NEW', 'Trump', 'Steele']"
